	US10063773_254606410403_S01_miRNA_107_Sep09_1_1 - 2	US10063773_254606410403_S01_miRNA_107_Sep09_1_4 - 2	US10063773_254606410403_S01_miRNA_107_Sep09_2_4 - 2	US10063773_254606410404_S01_miRNA_107_Sep09_1_3 - 2	US10063773_254606410404_S01_miRNA_107_Sep09_2_2 - 2	US10063773_254606411109_S01_miRNA_107_Sep09_2_4 - 2	US10063773_254606410405_S01_miRNA_107_Sep09_1_3 - 2	US10063773_254606410405_S01_miRNA_107_Sep09_2_2 - 2	US10063773_254606410413_S01_miRNA_107_Sep09_1_1 - 2	US10063773_254606410403_S01_miRNA_107_Sep09_1_2 - 2	US10063773_254606410403_S01_miRNA_107_Sep09_1_3 - 2	US10063773_254606410403_S01_miRNA_107_Sep09_2_2 - 2	US10063773_254606410404_S01_miRNA_107_Sep09_1_1 - 2	US10063773_254606410404_S01_miRNA_107_Sep09_1_4 - 2	US10063773_254606410404_S01_miRNA_107_Sep09_2_3 - 2	US10063773_254606410405_S01_miRNA_107_Sep09_1_1 - 2	US10063773_254606410405_S01_miRNA_107_Sep09_1_4 - 2	US10063773_254606410405_S01_miRNA_107_Sep09_2_3 - 2	US10063773_254606410413_S01_miRNA_107_Sep09_1_3 - 2	US10063773_254606410403_S01_miRNA_107_Sep09_2_1 - 1	US10063773_254606410403_S01_miRNA_107_Sep09_2_3 - 1	US10063773_254606410404_S01_miRNA_107_Sep09_1_2 - 1	US10063773_254606410404_S01_miRNA_107_Sep09_2_1 - 1	US10063773_254606410405_S01_miRNA_107_Sep09_1_2 - 1	US10063773_254606410405_S01_miRNA_107_Sep09_2_1 - 1	US10063773_254606410405_S01_miRNA_107_Sep09_2_4 - 1	US10063773_254606410413_S01_miRNA_107_Sep09_1_2 - 1	US10063773_254606410413_S01_miRNA_107_Sep09_1_4 - 1
hsa-miR-638	7.413	6.932	6.175	7.623	6.005	6.466	6.223	6.005	6.744	6.529	6.414	6.32	6.088	5.936	6.138	6.803	5.773	5.962	6.529	6.498	6.443	6.633	6.744	6.294	6.041	6.498	6.294	6.633
hsa-miR-1273g-3p	10.157	10.324	10.495	10.242	10.157	9.727	10.01	10.62	9.784	10.62	10.01	9.957	10.157	10.324	10.62	10.073	10.936	10.4	10.157	10.073	10.01	10.073	10.157	10.01	10.242	10.157	10.4	9.873
hsa-miR-338-3p	1.527	3.22	2.583	-0.147	3.387	4.763	3.941	2.484	1.877	1.09	2.112	3.673	2.954	3.048	NA	2.321	3.187	3.073	2.21	2.613	2.393	3.254	3.187	3.394	2.954	3.941	4.084	2.624
hsa-miR-4793-3p	NA	NA	NA	2.697	3.119	NA	3.358	NA	NA	NA	NA	2.712	NA	NA	NA	NA	NA	1.527	5.082	NA	NA	NA	4.41	4.073	NA	NA	NA	NA
hsa-let-7d-3p	0.029	NA	NA	-0.693	-0.664	NA	NA	NA	NA	-0.293	NA	NA	1.21	0.118	2.068	NA	NA	NA	NA	NA	0.649	0.043	NA	NA	NA	NA	NA	NA
hsa-miR-92a-3p	6.606	6.657	7.221	6.339	6.902	7.451	6.968	7.355	6.719	7.077	7.451	7.111	7.385	7.704	7.987	7.281	7.55	7.623	7.044	7.602	7.704	7.51	8.017	7.654	7.654	7.773	7.623	7.818
hsa-miR-663a	5.352	4.385	3.438	4.892	3.876	3.107	3.28	2.087	4.484	3.663	3.233	3.742	2.375	2.804	2.613	3.155	NA	3.28	3.531	3.241	4.153	3.825	3.177	3.22	NA	3.143	2.749	3.345
hsa-miR-3188	4.073	3.98	3.649	4.906	3.542	NA	3.428	3.037	3.404	3.187	3.755	3.577	2.683	2.988	3.345	3.567	3.037	3.187	3.28	3.416	3.309	3.449	3.61	2.583	2.87	2.804	3.267	3.187
hsa-miR-610	3.517	2.942	2.287	2.988	3.073	NA	NA	NA	NA	1.85	0.965	2.858	NA	2.112	NA	NA	NA	NA	2.624	NA	2.964	2.583	NA	0.708	NA	1.603	NA	NA
hsa-miR-484	1.113	1.588	2.624	-0.264	2.427	2.858	3.331	3.459	1.864	0.268	1.951	2.638	2.484	3.131	3.319	1.85	3.825	3.177	2.583	2.999	1.914	1.371	NA	2.505	2.683	3.684	2.683	2.427
hsa-miR-4433-3p	3.863	3.903	3.331	3.449	3.309	3.834	3.994	3.721	3.588	3.025	4.073	3.509	3.177	3.309	3.825	3.554	3.517	3.928	3.622	3.777	3.762	3.61	4.763	3.89	4.019	4.213	3.731	3.994
hsa-miR-204-5p	1.258	1.694	3.166	0.543	4.073	3.376	3.416	3.684	2.345	2.164	3.107	2.792	3.762	3.903	3.863	3.048	3.994	3.61	2.557	3.497	4.306	4.153	3.345	4.292	4.292	4.167	3.952	3.107
hsa-miR-10a-5p	4.553	5.291	5.368	5.041	6.175	6.088	5.773	6.119	5.846	5.196	5.557	5.45	6.294	6.02	6.24	5.594	6.32	6.088	5.427	5.962	5.846	6.39	5.136	6.203	6.02	6.39	5.846	5.335
hsa-miR-1225-5p	8.679	7.987	7.281	8.276	7.355	7.182	7.315	7.182	9.13	7.773	7.818	7.678	6.932	6.932	7.483	8.017	7.111	7.254	7.483	7.483	7.315	7.413	7.987	7.254	7.254	7.221	7.483	7.654
hsa-miR-2114-3p	1.994	3.267	3.471	NA	3.404	NA	NA	NA	NA	NA	NA	1.951	NA	3.876	NA	1.603	NA	NA	NA	NA	3.22	3.48	NA	3.531	NA	2.988	NA	3.195
hsa-miR-1228-3p	3.755	3.707	3.876	3.588	3.187	4.822	3.622	3.649	3.267	3.517	3.8	4.059	3.233	3.177	3.641	3.471	3.649	3.641	3.588	3.632	3.731	3.22	4.13	3.777	3.731	3.509	3.963	3.567
hsa-miR-3138	2.779	2.834	NA	2.779	2.988	NA	NA	1.806	5.176	3.684	1.749	NA	2.613	2.031	NA	2.882	NA	1.737	1.749	NA	2.712	2.256	NA	1.157	NA	1.85	NA	2.954
hsa-miR-483-3p	2.443	2.638	3.622	1.09	3.086	3.086	3.345	3.825	2.222	2.624	3.166	3.22	4.019	4.073	4.42	3.509	4.763	4.356	4.187	3.345	3.471	3.155	3.742	4.323	4.806	4.734	4.527	3.309
hsa-miR-660-5p	2.914	3.777	3.641	3.267	3.825	4.42	4.613	4.553	3.22	2.638	3.599	4.141	4.323	3.825	3.205	3.632	4.236	4.13	3.367	4.119	3.358	3.622	3.086	4.213	4.236	4.187	3.517	3.155
hsa-miR-3676-5p	4.995	5.681	5.251	7.602	4.98	5.492	5.557	5.062	6.223	9.527	5.492	5.136	5.136	5.217	4.583	6.657	4.98	5.539	5.577	5.101	5.663	5.577	5.153	5.826	6.119	5.306	4.434	5.514
hsa-miR-500a-5p	1.448	3.254	2.749	2.031	3.641	3.358	2.336	3.048	2.484	3.755	2.858	2.613	3.387	3.742	3.233	0.845	3.107	3.037	3.086	NA	2.164	3.577	2.464	2.21	NA	2.697	2.988	2.932
hsa-miR-4787-5p	7.704	6.39	6.02	7.654	5.557	4.98	5.136	5.539	5.32	5.891	5.708	5.92	5.45	5.614	5.724	5.936	4.719	4.96	5.557	6.02	6.564	6.175	5.663	6.005	5.176	5.663	5.368	5.352
