	US10063773_254606410403_S01_miRNA_107_Sep09_1_1 - 2	US10063773_254606410403_S01_miRNA_107_Sep09_1_4 - 2	US10063773_254606410403_S01_miRNA_107_Sep09_2_4 - 2	US10063773_254606410404_S01_miRNA_107_Sep09_1_3 - 2	US10063773_254606410404_S01_miRNA_107_Sep09_2_2 - 2	US10063773_254606411109_S01_miRNA_107_Sep09_2_4 - 2	US10063773_254606410405_S01_miRNA_107_Sep09_1_3 - 2	US10063773_254606410405_S01_miRNA_107_Sep09_2_2 - 2	US10063773_254606410413_S01_miRNA_107_Sep09_1_1 - 2	US10063773_254606410403_S01_miRNA_107_Sep09_1_2 - 2	US10063773_254606410403_S01_miRNA_107_Sep09_1_3 - 2	US10063773_254606410403_S01_miRNA_107_Sep09_2_2 - 2	US10063773_254606410404_S01_miRNA_107_Sep09_1_1 - 2	US10063773_254606410404_S01_miRNA_107_Sep09_1_4 - 2	US10063773_254606410404_S01_miRNA_107_Sep09_2_3 - 2	US10063773_254606410405_S01_miRNA_107_Sep09_1_1 - 2	US10063773_254606410405_S01_miRNA_107_Sep09_1_4 - 2	US10063773_254606410405_S01_miRNA_107_Sep09_2_3 - 2	US10063773_254606410413_S01_miRNA_107_Sep09_1_3 - 2	US10063773_254606410403_S01_miRNA_107_Sep09_2_1 - 1	US10063773_254606410403_S01_miRNA_107_Sep09_2_3 - 1	US10063773_254606410404_S01_miRNA_107_Sep09_1_2 - 1	US10063773_254606410404_S01_miRNA_107_Sep09_2_1 - 1	US10063773_254606410405_S01_miRNA_107_Sep09_1_2 - 1	US10063773_254606410405_S01_miRNA_107_Sep09_2_1 - 1	US10063773_254606410405_S01_miRNA_107_Sep09_2_4 - 1	US10063773_254606410413_S01_miRNA_107_Sep09_1_2 - 1	US10063773_254606410413_S01_miRNA_107_Sep09_1_4 - 1
hsa-miR-574-5p	4.654	4.339	4.654	5.051	5.122	4.748	5.062	5.352	5.92	4.892	4.059	4.922	4.763	4.13	4.942	4.226	4.13	4.571	7.678	4.613	5.269	4.306	5.539	4.995	5.427	4.385	4.849	4.748
hsa-miR-30d-5p	6.39	7.111	7.451	6.32	7.385	7.281	7.281	7.111	6.657	7.111	7.182	6.902	7.315	7.413	7.704	6.902	7.385	7.182	7.281	7.355	7.077	7.281	7.654	7.355	7.55	7.385	7.678	7.483
hsa-miR-1234-5p	9.169	8.357	7.623	8.973	7.574	7.961	7.704	7.483	8.897	7.961	8.163	8.096	7.044	7.182	7.574	8.4	7.315	7.55	8.017	7.734	7.574	7.623	8.528	7.413	7.51	7.55	7.734	8.057
hsa-miR-551b-3p	NA	NA	NA	NA	-0.646	NA	NA	2.321	NA	NA	NA	1.448	3.143	NA	NA	0.965	1.238	NA	NA	NA	3.06	NA	NA	NA	1.994	1.725	NA	NA
hsa-miR-4253	2.905	3.096	3.015	4.111	2.013	NA	NA	2.519	3.345	2.287	1.626	2.112	3.037	2.57	2.683	2.654	1.659	NA	NA	NA	2.988	2.57	NA	1.749	2.068	2.287	3.205	2.804
hsa-miR-142-3p	6.088	6.606	6.443	5.92	7.044	6.865	7.773	6.865	6.606	5.368	6.02	7.254	7.961	6.744	5.062	6.968	7.139	7.077	6.223	6.005	5.724	6.138	5.891	7.139	6.841	6.606	5.614	6.223
hsa-miR-34a-5p	9.012	8.679	8.528	8.4	8.096	9.374	8.932	8.648	8.679	7.678	8.766	8.766	8.309	7.55	6.443	7.851	7.818	8.127	7.818	7.413	6.064	7.654	5.614	6.223	6.865	6.362	7.254	7.315
hsa-miR-18b-5p	0.186	0.965	1.709	NA	-0.548	NA	1.671	1.157	NA	NA	1.113	1.29	1.238	0.356	NA	0.945	1.32	1.371	NA	NA	NA	0.186	NA	1.238	1.976	1.142	NA	1.615
hsa-miR-4778-5p	2.749	3.177	NA	4.099	3.131	NA	NA	NA	4.881	2.905	NA	NA	NA	NA	NA	2.749	NA	NA	1.694	NA	3.531	3.119	NA	2.557	NA	2.222	NA	2.087
hsa-miR-642a-3p	7.077	6.968	6.564	6.362	6.443	6.719	6.119	6.564	9.873	7.851	6.719	6.606	6.362	5.891	6.064	7.678	6.041	5.773	6.339	6.119	6.414	5.891	6.203	6.39	6.932	5.92	6.529	7.077
hsa-miR-122-5p	13.701	13.701	13.701	13.701	13.701	13.701	13.701	14.114	13.701	13.701	14.114	13.701	13.701	13.701	14.114	13.701	14.114	13.701	13.701	13.701	13.701	13.701	14.114	14.114	14.114	13.701	13.701	13.701
hsa-miR-4721	5.514	5.027	5.291	5.196	4.906	6.041	5.101	6.02	5.983	6.968	5.352	5.101	5.406	5.122	5.746	6.689	5.387	5.387	5.176	5.492	5.176	5.027	5.746	5.514	5.846	5.514	5.492	5.746
hsa-miR-4507	6.294	5.468	5.614	6.774	5.196	5.176	5.368	5.663	5.557	5.051	5.406	5.594	5.468	5.335	5.773	5.708	4.942	5.051	5.708	5.557	5.746	5.291	6.005	5.557	5.387	5.557	5.802	5.681
hsa-miR-361-3p	2.087	2.823	3.233	1.914	3.673	3.632	3.834	4.42	2.723	2.126	2.999	3.387	3.416	2.712	3.177	2.624	3.963	3.387	3.166	3.517	3.119	2.538	2.823	3.331	3.3	3.241	3.28	2.697
hsa-miR-15a-5p	7.315	7.623	7.734	6.719	7.413	7.851	7.654	7.51	7.003	7.483	7.734	7.734	7.851	7.51	7.111	7.315	7.734	7.851	7.355	7.385	7.51	7.55	6.932	7.451	7.704	7.483	7.704	7.734
hsa-miR-4451	1.603	2.287	2.599	0.792	2.792	NA	1.512	NA	NA	0.407	NA	2.126	2.182	2.538	NA	1.497	NA	NA	1.938	NA	1.938	2.359	NA	2.256	NA	1.671	NA	1.897
hsa-miR-1281	2.336	2.976	2.976	3.086	2.557	3.471	2.413	2.804	2.141	2.964	2.697	2.999	1.994	1.512	2.942	2.393	2.126	2.683	4.434	3.155	3.459	1.864	4.153	3.107	2.999	2.858	2.905	2.505
hsa-miR-6090	10.242	9.727	9.253	9.527	9.169	8.648	9.169	8.096	9.212	9.169	9.784	9.527	8.017	8.357	8.478	9.13	8.439	8.648	9.056	8.816	8.478	8.528	9.329	7.704	7.987	8.057	8.528	8.597
hsa-miR-939-5p	7.51	6.774	6.466	6.803	6.088	5.291	7.111	5.891	6.138	6.24	6.865	6.719	6.564	6.968	6.154	6.719	6.154	6.719	6.498	7.315	6.633	6.719	7.574	6.968	6.774	6.564	6.564	7.003
hsa-miR-4443	2.697	3.61	3.387	4.806	3.554	3.61	4.373	3.394	4.199	5.027	3.358	3.233	3.48	3.98	3.025	4.373	3.345	3.577	3.471	3.721	3.177	3.863	4.501	3.903	4.213	3.438	3.22	3.641
hsa-miR-4522	3.577	0.708	NA	3.143	2.21	NA	NA	1.397	2.599	5.269	2.683	NA	NA	NA	NA	3.928	NA	1.709	NA	NA	NA	2.427	2.988	NA	NA	NA	NA	NA
hsa-miR-27a-3p	7.889	8.309	7.961	7.355	8.766	8.276	7.961	7.818	8.127	7.574	7.678	8.017	8.276	7.818	7.654	7.55	8.198	7.678	8.163	7.574	7.929	7.889	7.355	7.889	7.413	8.017	7.654	7.385
hsa-miR-28-5p	4.685	5.229	5.468	4.464	5.32	5.614	5.32	5.92	4.501	5.251	5.638	5.153	5.492	5.251	5.352	5.062	5.936	5.681	5.122	5.681	5.773	5.217	4.774	5.708	5.724	5.746	5.681	5.32
hsa-miR-17-5p	6.414	7.044	7.044	6.119	6.803	7.355	7.044	7.139	6.339	7.044	7.281	7.139	7.221	7.483	7.281	6.865	7.254	7.355	7.003	7.451	7.55	7.355	7.077	7.602	7.574	7.602	7.315	7.623
