"","miRNA","mRNA","pearson-cor","p-value"
"1","hsa-miR-215","1","0.696692050941351","0.0370355658537173"
"2","hsa-miR-215","2","-0.609328928023217","0.0815310223282869"
"3","hsa-miR-215","9","0.31118901796003","0.415006466909588"
"4","hsa-miR-215","10","0.654911771415304","0.0555720076906116"
"5","hsa-miR-215","12","-0.258024412140984","0.50265318438589"
"6","hsa-miR-215","13","0.4239151487652","0.255502746678012"
"7","hsa-miR-215","14","0.535538376667426","0.13728925019961"
"8","hsa-miR-215","15","0.342699569218939","0.366624793022036"
"9","hsa-miR-215","16","0.526491611126791","0.145340647892144"
"10","hsa-miR-215","18","0.233050303846745","0.546200144600672"
"11","hsa-miR-215","19","-0.0702718336518246","0.857431192712755"
"12","hsa-miR-215","20","-0.185701411536687","0.632395802349346"
"13","hsa-miR-215","21","-0.260277313480984","0.498795819206643"
"14","hsa-miR-215","22","0.0181958304980986","0.96294198435572"
"15","hsa-miR-215","23","-0.706354364416087","0.0334171868330752"
"16","hsa-miR-215","24","0.373053735073984","0.322732134454043"
"17","hsa-miR-215","25","0.0551426313971089","0.887948614499328"
"18","hsa-miR-215","26","0.415348044894216","0.266256492931047"
"19","hsa-miR-215","27","-0.641699601763541","0.0624592286194118"
"20","hsa-miR-215","28","-0.382040676962352","0.310267772844545"
"21","hsa-miR-215","29","-0.00347409454348412","0.992922703894338"
"22","hsa-miR-215","30","0.499801356055084","0.17066785871652"
"23","hsa-miR-215","31","-0.107695529788372","0.782713933708847"
"24","hsa-miR-215","32","0.485897390654655","0.184794870416101"
"25","hsa-miR-215","33","0.771579156618172","0.0148769371049539"
"26","hsa-miR-215","34","0.319188762404313","0.402460641612245"
"27","hsa-miR-215","35","0.580573462204835","0.101185519130954"
"28","hsa-miR-215","36","0.366322162759006","0.332229151914391"
"29","hsa-miR-215","37","0.167250494749112","0.667122834967879"
"30","hsa-miR-215","38","0.0377916386356003","0.923103076735741"
"31","hsa-miR-215","39","0.425711273071261","0.253277985179523"
"32","hsa-miR-215","40","-0.643265202536909","0.0616164627885442"
"33","hsa-miR-215","41","-0.554839358945078","0.121009263392842"
"34","hsa-miR-215","43","0.64355641418435","0.0614604986887191"
"35","hsa-miR-215","47","0.451988203763698","0.221922085743037"
